Data	OtimoBom	Regular	RuimPessimo	NaoSabe
01.12.1994	41	48	8	4
01.10.1994	40	46	10	5
01.09.1994	32	49	13	6
01.08.1994	37	46	13	4
01.05.1994	16	43	38	4
01.03.1994	15	45	37	4
01.12.1993	18	45	34	3
01.11.1993	12	43	41	4
01.08.1993	15	48	34	4
01.06.1993	17	52	27	4
01.05.1993	19	50	26	5
01.04.1993	17	49	27	6
01.03.1993	24	51	18	8
01.02.1993	36	44	8	11
