Sigla;Codigo;Cidade;2020.03;2020.04;2020.05;2020.06;2020.07;2020.08;2020.09;2020.10;2020.11;2020.12;2021.01;2021.02;2021.03;2021.04;2021.05;2021.06;2021.07;2021.08
PR;4100103;Abatiá;8;38;6;8;5;6;11;5;7;5;11;11;11;15;13;16;18;12
PR;4100202;Adrianópolis;46;16;14;11;20;19;21;25;16;16;51;22;26;19;4;20;23;30
PR;4100301;Agudos do Sul;12;17;14;13;25;31;37;34;20;19;21;21;27;19;25;15;32;43
PR;4100400;Almirante Tamandaré;366;389;249;235;257;280;313;369;292;286;338;354;411;321;436;374;416;393
PR;4100459;Altamira do Paraná;2;1;2;2;6;6;5;3;3;2;3;4;2;6;5;10;8;2
PR;4100509;Altônia;115;193;52;63;42;61;44;62;60;83;68;100;82;75;66;73;98;71
PR;4100608;Alto Paraná;64;108;73;19;27;60;60;55;36;59;67;53;36;50;31;50;67;72
PR;4100707;Alto Piquiri;22;23;9;9;8;2;18;14;9;10;22;23;17;19;12;13;16;2
PR;4100806;Alvorada do Sul;29;26;20;8;15;26;19;31;32;31;32;35;40;36;34;44;42;2
PR;4100905;Amaporã;1;6;4;3;5;4;7;10;5;5;6;2;8;7;3;8;7;11
PR;4101002;Ampére;183;271;115;95;87;119;113;128;118;134;145;171;159;171;157;161;180;190
PR;4101051;Anahy;8;1;4;9;8;15;4;10;14;8;10;15;20;11;8;13;9;12
PR;4101101;Andirá;70;56;50;34;51;60;68;78;164;92;59;75;60;54;56;87;76;74
PR;4101150;Ângulo;7;5;5;4;3;6;5;1;5;5;4;4;5;6;12;16;7;13
PR;4101200;Antonina;124;87;101;86;90;87;99;130;117;91;147;126;129;115;166;157;154;154
PR;4101309;Antônio Olinto;24;15;8;11;38;4;11;4;8;3;27;6;7;8;12;13;71;12
PR;4101408;Apucarana;1266;1151;922;721;825;840;929;918;879;946;932;1062;1087;1100;1172;1193;1337;1361
PR;4101507;Arapongas;1205;1625;1132;805;1107;1200;1295;1458;1139;1149;1394;1354;1243;1225;1333;1192;1267;1341
PR;4101606;Arapoti;192;131;134;108;110;120;165;134;139;130;164;165;171;183;142;181;215;174
PR;4101655;Arapuã;2;0;2;4;1;1;3;0;0;0;5;6;5;5;5;8;1;4
PR;4101705;Araruna;226;100;47;60;64;75;82;71;76;98;56;78;66;51;52;64;73;63
PR;4101804;Araucária;1748;1280;1062;920;1078;1446;1347;1078;1042;1124;1304;1639;1805;1364;1562;1866;1696;1840
PR;4101853;Ariranha do Ivaí;0;0;0;1;0;0;0;1;0;0;1;1;1;1;1;1;3;0
PR;4101903;Assaí;59;36;22;9;15;25;28;26;19;30;26;35;34;31;32;32;43;52
PR;4102000;Assis Chateaubriand;147;126;98;80;101;102;121;143;115;139;150;116;162;176;164;162;161;186
PR;4102109;Astorga;151;130;105;89;110;105;115;127;119;165;86;138;164;125;120;164;173;152
PR;4102208;Atalaia;10;18;21;9;12;5;10;4;12;10;11;15;10;9;10;11;18;15
PR;4102307;Balsa Nova;129;128;65;50;65;82;63;86;64;126;84;82;157;172;107;96;85;102
PR;4102406;Bandeirantes;116;153;99;110;89;88;105;186;96;97;128;92;109;111;80;108;132;129
PR;4102505;Barbosa Ferraz;20;31;16;10;22;9;17;18;10;22;22;21;24;22;22;34;26;17
PR;4102604;Barracão;69;72;62;64;51;56;51;54;55;65;67;75;67;59;52;53;77;82
PR;4102703;Barra do Jacaré;5;2;3;0;1;1;0;1;1;0;5;0;2;5;1;6;8;2
PR;4102752;Bela Vista da Caroba;0;5;4;1;1;1;2;3;5;3;3;7;7;3;2;4;4;9
PR;4102802;Bela Vista do Paraíso;59;47;37;43;29;37;54;63;44;23;47;63;69;65;55;71;62;48
PR;4102901;Bituruna;128;74;89;116;101;132;122;119;129;148;115;136;150;124;167;156;161;183
PR;4103008;Boa Esperança;9;7;4;9;5;6;6;11;10;19;14;7;6;4;4;10;8;8
PR;4103024;Boa Esperança do Iguaçu;6;4;2;19;7;6;7;7;9;11;4;3;4;11;11;3;10;11
PR;4103040;Boa Ventura de São Roque;11;11;20;17;13;12;17;12;14;15;22;15;43;29;18;24;20;29
PR;4103057;Boa Vista da Aparecida;18;17;16;9;16;10;11;15;16;14;14;17;20;32;24;27;35;27
PR;4103107;Bocaiúva do Sul;78;93;70;64;65;50;71;78;80;74;80;79;75;72;80;96;112;90
PR;4103156;Bom Jesus do Sul;19;24;4;1;6;5;2;8;9;25;14;2;17;9;4;7;10;12
PR;4103206;Bom Sucesso;26;19;14;5;15;9;14;11;16;20;19;20;27;13;15;16;12;17
PR;4103222;Bom Sucesso do Sul;19;44;10;18;19;18;29;20;10;15;18;19;34;23;28;13;29;30
PR;4103305;Borrazópolis;22;53;12;16;14;11;13;16;8;18;19;20;30;17;18;14;15;15
PR;4103354;Braganey;8;10;7;3;5;4;8;7;7;7;9;9;10;18;2;8;5;4
PR;4103370;Brasilândia do Sul;10;5;1;3;0;3;3;7;4;3;3;5;5;3;9;2;2;3
PR;4103404;Cafeara;1;1;1;0;3;0;0;2;1;0;1;4;2;1;0;2;3;2
PR;4103453;Cafelândia;265;205;165;213;235;274;275;282;267;337;359;325;408;344;360;375;373;468
PR;4103479;Cafezal do Sul;8;6;11;3;2;6;9;3;3;19;4;6;9;6;6;9;4;10
PR;4103503;Califórnia;76;79;23;51;23;28;25;29;17;22;23;36;35;47;39;28;44;33
PR;4103602;Cambará;94;74;89;86;87;118;60;87;348;137;77;134;105;93;82;130;117;99
PR;4103701;Cambé;789;850;656;499;503;549;703;697;615;648;675;791;830;762;839;800;869;963
PR;4103800;Cambira;42;51;32;50;35;39;39;41;33;26;43;47;46;48;21;49;63;51
PR;4103909;Campina da Lagoa;34;40;28;34;26;39;24;34;35;22;31;28;50;36;27;40;39;63
PR;4103958;Campina do Simão;6;3;5;6;1;4;16;7;7;5;2;7;5;7;2;4;4;3
PR;4104006;Campina Grande do Sul;211;245;188;159;207;169;229;212;203;271;261;250;320;255;251;291;264;284
PR;4104055;Campo Bonito;8;7;3;3;3;3;2;4;5;2;5;3;11;10;2;4;3;6
PR;4104105;Campo do Tenente;17;29;18;20;18;9;22;26;13;38;29;34;24;50;35;22;29;41
