Sigla,Codigo,Cidade,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.10,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08
PR,4100103,Abatiá,13,3,1,5,4,9,9,5,19,3,24,15,16,13,29,26,15,23
PR,4100202,Adrianópolis,30,5,19,27,32,30,32,11,17,17,19,18,35,24,22,25,32,33
PR,4100301,Agudos do Sul,29,38,11,10,18,23,30,30,24,23,38,21,28,20,35,46,22,39
PR,4100400,Almirante Tamandaré,440,191,233,307,357,433,425,520,464,275,436,655,512,474,477,500,557,507
PR,4100459,Altamira do Paraná,0,4,1,0,5,1,3,2,4,4,1,2,0,8,20,11,17,3
PR,4100509,Altônia,90,58,27,29,76,54,82,87,84,56,123,162,115,92,80,88,78,115
PR,4100608,Alto Paraná,49,17,12,12,91,80,57,44,28,18,70,32,65,37,37,136,116,102
PR,4100707,Alto Piquiri,16,9,15,6,28,12,24,35,18,23,27,33,25,28,14,25,19,19
PR,4100806,Alvorada do Sul,21,30,17,16,43,48,62,62,45,31,75,44,28,65,26,41,23,47
PR,4100905,Amaporã,8,2,4,6,3,6,8,10,15,1,11,10,21,7,10,6,1,11
PR,4101002,Ampére,132,70,75,90,141,144,244,212,177,94,214,330,225,167,185,200,187,208
PR,4101051,Anahy,10,0,21,10,19,10,7,7,6,3,14,23,5,8,10,4,21,8
PR,4101101,Andirá,120,84,35,173,76,121,65,74,68,56,63,111,110,226,156,126,116,87
PR,4101150,Ângulo,11,3,3,2,5,4,16,9,7,3,6,15,5,6,10,11,15,8
PR,4101200,Antonina,242,17,108,138,127,140,109,116,138,57,108,157,154,171,181,171,172,183
PR,4101309,Antônio Olinto,14,0,40,27,4,6,5,13,34,55,8,20,16,13,13,16,18,17
PR,4101408,Apucarana,1167,435,537,753,1008,1122,1298,1420,1224,820,1451,1464,1490,1450,1262,1472,1485,1593
PR,4101507,Arapongas,1299,421,699,1398,1793,1749,1710,1897,1615,997,1748,1569,1549,1327,1330,1378,1457,1576
PR,4101606,Arapoti,149,94,116,111,161,179,174,176,178,188,256,300,235,202,191,173,223,225
PR,4101655,Arapuã,4,1,0,3,1,4,1,5,2,4,5,7,2,5,7,8,5,7
PR,4101705,Araruna,49,15,37,135,161,179,159,100,115,62,105,103,48,43,37,53,78,88
PR,4101804,Araucária,1535,913,703,786,1030,1122,1282,1460,1772,1337,1866,2586,2146,1689,2290,1791,2157,2117
PR,4101853,Ariranha do Ivaí,0,2,1,0,0,0,0,0,0,0,0,1,0,1,5,1,1,3
PR,4101903,Assaí,43,47,14,39,31,35,36,33,30,32,35,44,31,34,43,34,42,37
PR,4102000,Assis Chateaubriand,141,67,91,138,141,159,135,179,256,196,199,220,180,242,178,227,199,233
PR,4102109,Astorga,164,90,88,108,122,130,160,139,97,102,161,175,229,169,153,178,154,204
PR,4102208,Atalaia,11,7,7,16,6,20,13,9,15,7,20,19,13,15,10,10,10,22
PR,4102307,Balsa Nova,99,24,75,94,71,105,99,123,121,105,114,126,208,128,103,108,110,127
PR,4102406,Bandeirantes,115,139,79,60,73,95,89,122,128,86,87,122,130,199,148,151,128,143
PR,4102505,Barbosa Ferraz,15,9,6,7,5,11,13,21,25,21,23,35,40,33,15,21,17,38
PR,4102604,Barracão,64,17,29,44,62,67,75,60,66,38,65,79,92,54,51,80,91,71
PR,4102703,Barra do Jacaré,2,1,0,0,0,3,1,1,4,2,2,4,6,14,4,8,6,21
PR,4102752,Bela Vista da Caroba,7,2,3,0,6,1,1,4,1,3,5,10,7,3,9,5,2,10
PR,4102802,Bela Vista do Paraíso,50,28,26,49,58,55,57,50,65,23,73,73,61,59,58,67,71,69
PR,4102901,Bituruna,165,68,90,93,101,159,177,122,161,84,191,199,226,241,182,200,229,203
PR,4103008,Boa Esperança,6,4,5,9,7,18,9,6,11,6,9,12,7,8,6,21,15,13
PR,4103024,Boa Esperança do Iguaçu,4,3,3,10,15,7,10,16,11,6,3,12,26,16,11,12,6,13
PR,4103040,Boa Ventura de São Roque,45,6,6,18,14,15,17,23,14,19,14,15,28,30,25,41,35,52
PR,4103057,Boa Vista da Aparecida,19,55,16,9,23,10,10,32,14,10,26,27,35,17,39,27,34,31
PR,4103107,Bocaiúva do Sul,86,41,53,80,76,76,119,131,116,86,85,192,124,95,97,156,141,146
PR,4103156,Bom Jesus do Sul,1,3,1,0,1,7,9,31,8,2,46,7,23,2,10,6,20,19
PR,4103206,Bom Sucesso,20,8,16,6,12,13,11,13,21,37,24,28,45,33,25,29,19,28
PR,4103222,Bom Sucesso do Sul,22,7,12,22,32,16,38,30,17,17,40,19,13,15,15,18,33,18
PR,4103305,Borrazópolis,21,14,14,9,16,20,28,11,23,16,22,26,28,18,24,14,19,27
PR,4103354,Braganey,12,5,7,2,1,4,7,13,7,5,7,25,13,14,3,4,10,19
PR,4103370,Brasilândia do Sul,0,2,0,3,0,8,3,8,5,2,3,11,6,8,8,7,2,2
PR,4103404,Cafeara,1,1,3,1,3,2,1,1,2,3,1,1,3,2,3,2,1,3
PR,4103453,Cafelândia,326,398,264,166,558,315,266,451,350,285,264,233,526,401,305,366,390,380
PR,4103479,Cafezal do Sul,3,0,4,6,0,1,12,3,8,2,8,15,5,11,3,5,7,11
PR,4103503,Califórnia,41,14,22,36,14,19,49,40,19,13,80,69,61,49,51,48,41,75
PR,4103602,Cambará,121,227,99,56,81,106,87,102,89,71,100,98,115,391,246,100,148,149
